id,victim_id,victim_guild_id,victim_level,attacker_id,attacker_guild_id,attacker_level,zone_id,killed_at,killmail_raw_id
"132,116,"""","""",60,2,"""",24,""2018-07-31 13:52:33+02"",132"
"133,117,"""","""",118,2,"""",28,""2018-07-31 13:47:24+02"",133"
"134,119,"""","""",120,8,"""",29,""2018-07-31 09:34:46+02"",134"
"135,121,"""","""",75,3,"""",13,""2018-07-31 07:02:45+02"",135"
"136,26,2,"""",92,1,"""",27,""2018-07-31 06:49:06+02"",136"
"137,122,2,"""",120,8,"""",4,""2018-07-31 06:42:24+02"",137"
"138,49,"""","""",95,3,"""",13,""2018-07-31 06:41:34+02"",138"
"139,96,"""","""",123,"""","""",26,""2018-07-31 06:37:49+02"",139"
"140,29,7,"""",120,8,"""",30,""2018-07-31 06:30:10+02"",140"
"141,124,"""","""",45,"""","""",13,""2018-07-31 06:27:07+02"",141"
"142,125,5,"""",28,"""","""",2,""2018-07-31 05:52:45+02"",142"
"143,92,1,"""",36,1,"""",19,""2018-07-31 05:43:44+02"",143"
"144,126,2,"""",75,3,"""",13,""2018-07-31 05:27:59+02"",144"
"145,127,2,"""",75,3,"""",13,""2018-07-31 05:21:51+02"",145"
"146,32,2,"""",128,3,"""",13,""2018-07-31 05:19:28+02"",146"
"147,26,2,"""",128,3,"""",13,""2018-07-31 05:19:13+02"",147"
"148,129,2,"""",130,1,"""",3,""2018-07-31 05:15:01+02"",148"
"149,131,1,"""",75,3,"""",22,""2018-07-31 05:11:48+02"",149"
"150,4,1,"""",132,3,"""",22,""2018-07-31 05:09:40+02"",150"
"151,133,2,"""",92,1,"""",19,""2018-07-31 04:35:09+02"",151"
"152,61,"""","""",133,2,"""",7,""2018-07-31 04:32:49+02"",152"
"153,126,2,"""",68,10,"""",13,""2018-07-31 04:30:49+02"",153"
"154,134,"""","""",120,8,"""",15,""2018-07-31 04:20:41+02"",154"
"155,70,"""","""",120,8,"""",6,""2018-07-31 04:17:34+02"",155"
"156,135,2,"""",136,1,"""",10,""2018-07-31 04:16:48+02"",156"
"157,24,"""","""",69,"""","""",6,""2018-07-31 04:07:04+02"",157"
"158,24,"""","""",69,"""","""",1,""2018-07-31 04:05:08+02"",158"
"159,135,2,"""",132,3,"""",10,""2018-07-31 04:04:59+02"",159"
"160,137,"""","""",120,8,"""",6,""2018-07-31 03:32:34+02"",160"
"161,67,8,"""",27,"""","""",1,""2018-07-31 03:29:09+02"",161"
"162,137,"""","""",67,8,"""",1,""2018-07-31 03:27:13+02"",162"
"163,32,"""","""",67,8,"""",28,""2018-07-31 03:23:15+02"",163"
"164,26,"""","""",70,"""","""",1,""2018-07-31 03:16:31+02"",164"
"165,138,12,"""",18,2,"""",31,""2018-07-31 02:54:15+02"",165"
"166,2,"""","""",68,10,"""",1,""2018-07-31 02:53:32+02"",166"
"167,137,"""","""",67,8,"""",1,""2018-07-31 02:52:32+02"",167"
"168,27,"""","""",47,8,"""",28,""2018-07-31 02:33:14+02"",168"
"169,139,4,"""",6,"""","""",1,""2018-07-31 02:29:34+02"",169"
"170,2,"""","""",67,8,"""",1,""2018-07-31 02:28:55+02"",170"
"171,88,1,"""",140,"""","""",17,""2018-07-31 02:15:02+02"",171"
"172,88,1,"""",140,"""","""",6,""2018-07-31 02:08:47+02"",172"
"173,74,"""","""",139,4,"""",6,""2018-07-31 01:50:50+02"",173"
"174,74,"""","""",51,10,"""",6,""2018-07-31 01:49:07+02"",174"
"175,137,"""","""",139,4,"""",6,""2018-07-31 01:46:29+02"",175"
"176,134,"""","""",47,8,"""",6,""2018-07-31 01:45:39+02"",176"
"177,70,"""","""",51,10,"""",6,""2018-07-31 01:44:11+02"",177"
"178,141,"""","""",120,8,"""",6,""2018-07-31 01:42:56+02"",178"
"179,19,5,"""",104,1,"""",16,""2018-07-31 01:39:51+02"",179"
"180,142,"""","""",25,6,"""",1,""2018-07-31 01:30:47+02"",180"
"181,143,"""","""",110,1,"""",22,""2018-07-31 01:15:03+02"",181"
"182,144,2,"""",145,1,"""",22,""2018-07-31 01:14:21+02"",182"
"183,33,1,"""",51,10,"""",6,""2018-07-31 01:05:31+02"",183"
"184,11,"""","""",10,1,"""",6,""2018-07-31 01:05:24+02"",184"
"185,33,1,"""",51,10,"""",6,""2018-07-31 01:03:41+02"",185"
"186,33,1,"""",120,8,"""",6,""2018-07-31 01:03:12+02"",186"
"187,146,"""","""",120,8,"""",1,""2018-07-31 01:00:35+02"",187"
"188,74,"""","""",47,8,"""",1,""2018-07-31 00:57:58+02"",188"
"189,147,"""","""",148,2,"""",32,""2018-07-31 00:51:56+02"",189"
"190,149,2,"""",110,1,"""",20,""2018-07-31 00:49:11+02"",190"
"191,150,2,"""",74,"""","""",5,""2018-07-31 00:09:00+02"",191"
"192,88,1,"""",79,2,"""",13,""2018-07-31 00:00:51+02"",192"
"193,100,"""","""",151,2,"""",13,""2018-07-31 00:00:27+02"",193"
"194,149,2,"""",145,1,"""",13,""2018-07-31 00:00:18+02"",194"
"195,89,"""","""",152,"""","""",1,""2018-07-30 23:53:32+02"",195"
"196,105,"""","""",153,2,"""",4,""2018-07-30 23:47:06+02"",196"
"197,119,"""","""",126,2,"""",9,""2018-07-30 23:42:56+02"",197"
"198,106,"""","""",126,2,"""",9,""2018-07-30 23:41:58+02"",198"
"199,154,5,"""",6,"""","""",1,""2018-07-30 23:36:08+02"",199"
"200,155,5,"""",6,"""","""",1,""2018-07-30 23:35:50+02"",200"
"201,89,"""","""",6,"""","""",1,""2018-07-30 23:07:24+02"",201"
"202,92,1,"""",61,"""","""",9,""2018-07-30 22:58:59+02"",202"
"203,108,7,"""",92,1,"""",33,""2018-07-30 22:20:11+02"",203"
"204,28,"""","""",37,"""","""",18,""2018-07-30 22:09:14+02"",204"
"205,28,"""","""",120,"""","""",7,""2018-07-30 22:03:56+02"",205"
"206,17,1,"""",5,2,"""",26,""2018-07-30 21:57:56+02"",206"
"207,156,2,"""",110,1,"""",9,""2018-07-30 21:57:51+02"",207"
"208,28,"""","""",104,1,"""",11,""2018-07-30 21:35:26+02"",208"
"209,157,"""","""",158,"""","""",19,""2018-07-30 21:06:09+02"",209"
"210,100,"""","""",159,"""","""",11,""2018-07-30 21:01:30+02"",210"
"211,100,"""","""",159,"""","""",11,""2018-07-30 20:54:10+02"",211"
"212,119,"""","""",145,1,"""",33,""2018-07-30 20:44:36+02"",212"
"213,39,2,"""",160,1,"""",34,""2018-07-30 20:30:42+02"",213"
"214,161,1,"""",126,2,"""",22,""2018-07-30 19:58:16+02"",214"
"215,107,7,"""",109,"""","""",1,""2018-07-30 19:43:39+02"",215"
"216,162,"""","""",109,"""","""",1,""2018-07-30 19:34:39+02"",216"
"217,73,2,"""",87,1,"""",13,""2018-07-30 18:01:33+02"",217"
"218,135,2,"""",155,5,"""",15,""2018-07-30 17:46:38+02"",218"
"219,160,1,"""",39,2,"""",30,""2018-07-30 17:39:55+02"",219"
"220,163,"""","""",141,"""","""",1,""2018-07-30 17:26:32+02"",220"
"221,155,5,"""",6,"""","""",28,""2018-07-30 17:24:05+02"",221"
"222,164,2,"""",109,"""","""",1,""2018-07-30 17:17:53+02"",222"
"223,162,"""","""",109,"""","""",1,""2018-07-30 17:13:12+02"",223"
"224,106,"""","""",165,13,"""",24,""2018-07-30 17:10:05+02"",224"
"225,152,"""","""",88,1,"""",1,""2018-07-30 16:31:03+02"",225"
"226,166,1,"""",167,14,"""",35,""2018-07-30 16:16:47+02"",226"
"227,168,2,"""",44,9,"""",16,""2018-07-30 15:57:49+02"",227"
"228,146,"""","""",4,1,"""",7,""2018-07-30 15:50:04+02"",228"
"229,169,2,"""",170,3,"""",9,""2018-07-30 15:42:58+02"",229"
"230,119,"""","""",75,3,"""",24,""2018-07-30 15:27:39+02"",230"
"231,89,"""","""",146,"""","""",1,""2018-07-30 15:24:12+02"",231"
"232,147,"""","""",10,1,"""",1,""2018-07-30 13:54:20+02"",232"
"233,113,"""","""",10,1,"""",1,""2018-07-30 13:53:50+02"",233"
"234,25,6,"""",21,2,"""",1,""2018-07-30 13:26:42+02"",234"
"235,105,"""","""",171,"""","""",36,""2018-07-30 12:40:52+02"",235"
"236,25,6,"""",24,"""","""",1,""2018-07-30 10:10:17+02"",236"
"237,172,"""","""",25,6,"""",1,""2018-07-30 09:42:26+02"",237"
"238,26,"""","""",61,"""","""",14,""2018-07-30 07:18:35+02"",238"
"239,32,"""","""",61,"""","""",14,""2018-07-30 07:18:01+02"",239"
"240,173,"""","""",174,"""","""",37,""2018-07-30 06:58:23+02"",240"
"241,175,"""","""",174,"""","""",37,""2018-07-30 06:58:52+02"",241"
"242,152,"""","""",139,4,"""",1,""2018-07-30 06:51:43+02"",242"
"243,11,"""","""",139,4,"""",1,""2018-07-30 06:49:02+02"",243"
"244,174,"""","""",175,"""","""",38,""2018-07-30 06:37:47+02"",244"
"245,134,"""","""",139,4,"""",15,""2018-07-30 06:31:33+02"",245"
"246,26,"""","""",61,"""","""",9,""2018-07-30 06:28:19+02"",246"
"247,32,"""","""",61,"""","""",9,""2018-07-30 06:28:09+02"",247"
"248,82,1,"""",32,"""","""",14,""2018-07-30 06:22:46+02"",248"
"249,81,1,"""",32,"""","""",14,""2018-07-30 06:21:43+02"",249"
"250,176,2,"""",128,3,"""",3,""2018-07-30 04:56:15+02"",250"
"251,129,2,"""",128,3,"""",3,""2018-07-30 04:47:17+02"",251"
"252,177,2,"""",178,15,"""",3,""2018-07-30 04:46:57+02"",252"
"253,27,"""","""",179,2,"""",26,""2018-07-30 04:42:59+02"",253"
"254,180,2,"""",139,4,"""",6,""2018-07-30 04:42:48+02"",254"
"255,181,"""","""",72,"""","""",11,""2018-07-30 04:38:54+02"",255"
"256,182,6,"""",75,3,"""",15,""2018-07-30 04:36:38+02"",256"
"257,26,"""","""",183,1,"""",5,""2018-07-30 04:35:09+02"",257"
"258,32,"""","""",110,1,"""",5,""2018-07-30 04:33:45+02"",258"
"259,65,1,"""",184,5,"""",5,""2018-07-30 04:31:59+02"",259"
"260,155,5,"""",145,1,"""",5,""2018-07-30 04:31:19+02"",260"
"261,26,"""","""",110,1,"""",5,""2018-07-30 04:30:12+02"",261"
"262,32,"""","""",184,5,"""",5,""2018-07-30 04:29:24+02"",262"
"263,185,5,"""",32,"""","""",5,""2018-07-30 04:28:56+02"",263"
"264,26,"""","""",185,5,"""",5,""2018-07-30 04:23:48+02"",264"
"265,186,2,"""",20,"""","""",10,""2018-07-30 04:22:27+02"",265"
"266,187,"""","""",38,3,"""",10,""2018-07-30 04:21:38+02"",266"
"267,17,1,"""",178,15,"""",19,""2018-07-30 04:16:30+02"",267"
"268,58,"""","""",188,"""","""",5,""2018-07-30 04:16:05+02"",268"
"269,26,"""","""",38,3,"""",15,""2018-07-30 04:09:23+02"",269"
"270,122,2,"""",38,3,"""",4,""2018-07-30 04:00:42+02"",270"
"271,189,2,"""",178,15,"""",4,""2018-07-30 03:58:37+02"",271"
"272,60,2,"""",38,3,"""",4,""2018-07-30 03:55:54+02"",272"
"273,32,"""","""",178,15,"""",16,""2018-07-30 03:49:07+02"",273"
"274,28,"""","""",103,2,"""",27,""2018-07-30 03:47:05+02"",274"
"275,74,"""","""",178,15,"""",15,""2018-07-30 03:44:48+02"",275"
"276,9,"""","""",58,"""","""",10,""2018-07-30 03:37:15+02"",276"
"277,82,1,"""",178,15,"""",9,""2018-07-30 03:24:24+02"",277"
"278,154,5,"""",190,"""","""",10,""2018-07-30 02:59:15+02"",278"
"279,103,2,"""",191,"""","""",1,""2018-07-30 02:57:51+02"",279"
"280,192,"""","""",103,2,"""",1,""2018-07-30 02:54:06+02"",280"
"281,182,6,"""",153,2,"""",26,""2018-07-30 02:42:20+02"",281"
"282,6,"""","""",21,2,"""",1,""2018-07-30 02:34:45+02"",282"
"283,193,"""","""",72,"""","""",11,""2018-07-30 02:33:08+02"",283"
"284,194,"""","""",72,"""","""",18,""2018-07-30 02:32:05+02"",284"
"285,194,"""","""",72,"""","""",11,""2018-07-30 02:30:56+02"",285"
"286,155,5,"""",75,3,"""",24,""2018-07-30 02:20:49+02"",286"
"287,21,2,"""",140,"""","""",1,""2018-07-30 02:16:26+02"",287"
"288,164,2,"""",140,"""","""",1,""2018-07-30 02:12:53+02"",288"
"289,162,"""","""",6,"""","""",1,""2018-07-30 02:11:09+02"",289"
"290,195,1,"""",168,2,"""",26,""2018-07-30 02:07:55+02"",290"
"291,94,"""","""",103,2,"""",28,""2018-07-30 02:03:15+02"",291"
"292,85,2,"""",178,15,"""",22,""2018-07-30 01:33:02+02"",292"
"293,82,1,"""",128,3,"""",22,""2018-07-30 01:25:12+02"",293"
"294,81,1,"""",95,3,"""",22,""2018-07-30 01:24:35+02"",294"
"295,196,2,"""",75,3,"""",3,""2018-07-30 01:17:56+02"",295"
"296,147,"""","""",128,3,"""",13,""2018-07-30 01:16:52+02"",296"
"297,154,5,"""",128,3,"""",10,""2018-07-30 01:06:21+02"",297"
"298,197,1,"""",75,3,"""",19,""2018-07-30 00:56:07+02"",298"
"299,93,2,"""",128,3,"""",19,""2018-07-30 00:55:14+02"",299"
"300,198,2,"""",92,1,"""",5,""2018-07-30 00:55:12+02"",300"
"301,21,2,"""",61,"""","""",9,""2018-07-30 00:50:58+02"",301"
"302,154,5,"""",75,3,"""",39,""2018-07-30 00:43:03+02"",302"
"303,161,1,"""",95,3,"""",5,""2018-07-30 00:30:43+02"",303"
"304,26,"""","""",38,3,"""",25,""2018-07-30 00:26:36+02"",304"
