KB,D,HK,DD,HD
15,0,56,88713,14976
4,6,19,40144,2364
0,2,37,19317,4111
1,5,20,1450,21173
3,3,25,24614,11955
0,4,16,24478,5175
3,3,37,16050,5989
3,2,39,18658,10170
0,2,39,4783,49940
7,2,35,21936,4953
1,6,16,12232,4278
2,4,23,23452,24221
7,2,36,16219,4135
6,3,39,25811,5031
7,2,39,25832,16403
5,4,23,15034,1119
0,2,18,417,593
5,3,21,15941,3727
5,5,37,16834,0
2,2,41,18018,3654
2,4,23,8873,11163
4,2,30,21243,2127
7,4,28,29090,7893
2,3,35,18594,1540
10,3,34,23982,982
0,2,29,657,29445
2,5,25,18870,4399
6,3,33,29098,1119
0,4,33,7964,36776
0,7,24,459,21956
8,4,28,39718,4707
2,2,34,11218,2420
4,1,30,15663,1121
1,2,30,408,33430
0,0,30,7165,35460
5,4,34,54877,2465
3,3,30,33851,10463
3,3,33,22460,2094
0,3,34,811,29869
7,5,29,18734,743
0,4,29,14271,6498
0,0,46,776,44074
1,5,12,22140,3990
5,0,46,23575,9552
5,1,43,14415,4208
2,3,41,11999,954
7,2,41,15652,680
0,6,11,2161,10910
0,5,8,1813,789
2,6,11,11151,1511
3,2,45,23767,16689
8,2,39,9592,2314
1,6,9,14868,684
0,3,11,6714,858
3,2,39,11241,1791
7,0,46,23275,7033
2,4,9,22391,9911
5,5,13,20230,3127
6,1,43,21528,3270
2,4,13,11738,6312
10,7,26,37017,1028
1,2,51,23153,4868
4,6,25,14648,1417
2,5,40,14447,4293
4,3,51,20146,954
2,5,28,24702,5084
3,7,20,14067,1804
7,1,59,26239,3853
2,5,26,32412,5569
7,6,51,27515,13645
1,2,12,6719,1310
1,6,27,4967,31241
12,3,52,31495,11740
6,3,54,27217,1183
11,2,57,17946,2051
10,3,55,35660,9172
5,7,28,33481,11695
0,4,27,8769,5616
4,8,27,20585,70
0,4,55,105,66324
4,6,28,45014,8505
2,7,28,19295,4850
5,4,45,13002,8463
2,3,31,17239,2686
2,4,11,15464,5659
3,2,49,10892,10115
8,1,50,41327,12071
3,6,48,16656,4192
2,0,8,8264,2812
0,2,49,5464,66158
12,4,47,28853,4672
2,7,25,8935,759
5,7,27,44477,7646
8,4,41,35243,8573
0,2,45,344,41371
10,0,52,28796,5919
0,5,26,3389,19144
2,7,20,21366,260
2,6,42,22136,19597
8,4,29,28722,16078
3,6,15,25219,5384
2,2,43,9855,1301
0,0,4,8131,5667
3,1,43,38620,7204
3,6,15,10415,2947
4,2,44,27838,4272
5,4,35,16007,2137
0,3,41,4601,42311
2,4,15,22344,6085
2,3,13,8995,5168
4,4,16,28500,7693
4,5,14,14064,3306
1,1,43,10390,1553
16,0,45,35090,11090
2,5,40,10537,7122
6,2,42,20952,2547
1,5,18,12065,5445
0,3,18,861,24177
6,0,45,13205,5719
1,7,11,6843,828
11,2,40,108000,5220
3,3,38,17345,114000
0,5,34,25932,2574
0,5,32,10381,84526
6,5,28,82896,19311
0,3,50,54630,40886
0,4,25,14252,2515
3,4,26,27830,18223
3,5,28,34304,4673
13,3,53,90367,44423
1,5,21,22558,8547
1,6,27,46366,4360
0,5,46,14366,127000
1,5,34,75867,37212
3,2,45,65943,7335
8,3,35,86958,26805
0,4,37,24030,1692
0,3,30,2633,77562
0,3,33,35984,49038
13,1,54,54259,20971
2,2,50,24136,116000
4,5,20,127000,19158
2,6,31,40234,3371
2,4,27,21209,8950
5,6,24,37263,12972
4,4,52,53240,6766
3,2,45,57348,29749
6,2,47,48958,19528
5,3,36,65684,7134
10,3,40,104000,4278
8,4,37,87559,13923
0,0,7,103,2288
1,7,11,74415,7212
12,2,39,80285,11346
0,3,42,1368,175000
2,3,18,152000,4749
0,2,9,7749,83060
2,2,53,64224,10864
2,2,36,3490,187000
0,7,16,20477,143000
1,1,4,11769,3325
2,0,51,111000,4314
6,0,51,82081,11540
4,1,46,125000,18200
3,6,11,92806,35406
1,4,14,83602,23018
0,1,10,35208,17948
4,1,44,186000,21857
6,4,25,66806,4860
0,3,9,20849,4178
5,3,18,181000,37231
4,5,13,119000,33349
0,1,46,9630,168000
2,5,17,49837,10297
1,1,47,39138,21708
0,1,36,0,143000
